feature_symbol,coverage_status,runtime_groups,runtime_test_presence,lean_status,dependency_count,dependent_count,mapped_dependency_count,unmapped_dependency_count,priority_score,priority_band,recommended_action,dependencies,unmapped_dependencies,dependents
foldl-atom,extension_runtime_only,stdlib_decl;stdlib_doc;stdlib_eq,yes,absent,4,4,4,0,62,P0,implement_now,chain;context-space;eval;function,,add-atoms;add-reducts;collapse;type-cast
switch-minimal,extension_mapped_in_lean,stdlib_decl;stdlib_eq,yes,present,9,3,8,1,56,P1,implement_with_prereq,Empty;NotReducible;chain;decons-atom;eval;function;if-equal;return;switch-internal,if-equal,case;switch;switch-internal
map-atom,extension_runtime_only,stdlib_decl;stdlib_doc;stdlib_eq,yes,absent,9,1,8,1,56,P1,implement_with_prereq,atom-subst;chain;cons-atom;decons-atom;eval;function;return;sealed;unify,atom-subst,type-cast
let,extension_mapped_in_lean,stdlib_decl;stdlib_doc;stdlib_eq,yes,present,2,17,2,0,54,P1,implement_now,Empty;unify,,assertIncludes;for-each-in-atom;get-doc;get-doc-atom;get-doc-function;get-doc-params;get-doc-single-atom;help-param!;help-space!;intersection;is-function;let*;new-state;subtraction;undefined-doc-function-type;union;unique
case,extension_mapped_in_lean,stdlib_decl;stdlib_doc;stdlib_eq,yes,present,13,2,13,0,54,P1,implement_now,%Undefined%;==;Empty;chain;collapse-bind;context-space;eval;function;metta;return;superpose-bind;switch-minimal;unify,,get-doc;help-internal!
collapse,extension_mapped_in_lean,stdlib_decl;stdlib_doc;stdlib_eq,no,present,10,15,8,2,52,P1,implement_with_prereq,%Undefined%;_collapse-add-next-atom-from-collapse-bind-result;chain;collapse-bind;context-space;eval;foldl-atom;function;metta;return,_collapse-add-next-atom-from-collapse-bind-result;foldl-atom,assertAlphaEqual;assertAlphaEqualMsg;assertAlphaEqualToResult;assertAlphaEqualToResultMsg;assertEqual;assertEqualMsg;assertEqualToResult;assertEqualToResultMsg;assertIncludes;help-space!;intersection;new-state;subtraction;union;unique
if,extension_mapped_in_lean,stdlib_decl;stdlib_doc;stdlib_eq,yes,present,0,8,0,0,50,P1,implement_now,,,assertIncludes;filter-atom;for-each-in-atom;get-doc-function;get-doc-params;get-doc-single-atom;type-cast;undefined-doc-function-type
assertEqual,extension_runtime_only,stdlib_decl;stdlib_doc;stdlib_eq,yes,absent,5,0,5,0,48,P1,implement_now,%Undefined%;chain;collapse;context-space;metta,,
assertEqualMsg,extension_runtime_only,stdlib_decl;stdlib_doc;stdlib_eq,yes,absent,5,0,5,0,48,P1,implement_now,%Undefined%;chain;collapse;context-space;metta,,
assertEqualToResult,extension_runtime_only,stdlib_decl;stdlib_doc;stdlib_eq,yes,absent,5,0,5,0,48,P1,implement_now,%Undefined%;chain;collapse;context-space;metta,,
assertEqualToResultMsg,extension_runtime_only,stdlib_decl;stdlib_doc;stdlib_eq,yes,absent,5,0,5,0,48,P1,implement_now,%Undefined%;chain;collapse;context-space;metta,,
if-decons-expr,extension_runtime_only,stdlib_decl;stdlib_doc;stdlib_eq,yes,absent,7,0,6,1,48,P1,implement_with_prereq,chain;decons-atom;eval;function;if-equal;return;unify,if-equal,
Error,extension_mapped_in_lean,engine_const;stdlib_decl;stdlib_doc,yes,present,0,9,0,0,46,P1,implement_now,,,assert;assertIncludes;car-atom;cdr-atom;first-from-pair;help-internal!;if-error;let*;type-cast
assert,extension_mapped_in_lean,stdlib_decl;stdlib_eq,yes,present,7,0,7,0,44,P1,implement_now,%Undefined%;Error;chain;context-space;metta;not;unify,,
cdr-atom,extension_runtime_only,stdlib_decl;stdlib_doc;stdlib_eq,no,absent,4,4,4,0,42,P1,implement_now,Error;chain;decons-atom;unify,,for-each-in-atom;get-doc-function;get-doc-params;undefined-doc-function-type
